state,district,year,month,avg_groundwater_level,monthly_avg_rainfall,rain_lag_1,rain_lag_3,rain_lag_6,cumulative_rain_3m,monthly_avg_soil_moisture_15cm,soil_moisture_lag_1,soil_moisture_lag_3,month_sin,month_cos,groundwater_lag_1,groundwater_lag_3,groundwater_lag_6,groundwater_rolling_3,groundwater_rolling_6
Punjab,Amritsar,2020.0,11.0,15.507837837837837,1.7258465073666664,2.26131793567742,1.6701740393870967,0.5400194929677419,4.599519564544086,12.470037386666666,9.505067648387096,19.871097913333333,-0.5000000000000004,0.8660254037844384,15.507837837837837,15.507837837837837,15.507837837837837,15.507837837837837,15.507837837837837
Punjab,Amritsar,2020.0,12.0,15.507837837837837,0.563291178483871,1.7258465073666664,0.6123551214999999,1.9366333197333327,4.5504556215279575,15.445114251612903,12.470037386666666,14.976791265517242,-2.4492935982947064e-16,1.0,15.507837837837837,15.507837837837837,15.507837837837837,15.507837837837837,15.507837837837837
Punjab,Amritsar,2021.0,1.0,15.507837837837837,0.6673367136451612,0.563291178483871,2.26131793567742,4.116551976677419,2.956474399495699,16.9175163483871,15.445114251612903,9.505067648387096,0.49999999999999994,0.8660254037844387,15.507837837837837,15.507837837837837,15.507837837837837,15.507837837837837,15.507837837837837
Punjab,Amritsar,2021.0,2.0,15.507837837837837,0.1450659296785714,0.6673367136451612,1.7258465073666664,1.6701740393870967,1.3756938218076036,12.217055121428572,16.9175163483871,12.470037386666666,0.8660254037844386,0.5000000000000001,15.507837837837837,15.507837837837837,15.507837837837837,15.507837837837837,15.507837837837837
Punjab,Amritsar,2021.0,3.0,15.507837837837837,0.4885469092903226,0.1450659296785714,0.563291178483871,0.6123551214999999,1.300949552614055,12.3118763,12.217055121428572,15.445114251612903,1.0,6.123233995736766e-17,15.507837837837837,15.507837837837837,15.507837837837837,15.507837837837837,15.507837837837837
Punjab,Amritsar,2021.0,4.0,15.507837837837837,0.8024243485666668,0.4885469092903226,0.6673367136451612,2.26131793567742,1.4360371875355606,14.198533496666666,12.3118763,16.9175163483871,0.8660254037844387,-0.4999999999999998,15.507837837837837,15.507837837837837,15.507837837837837,15.507837837837837,15.507837837837837
Punjab,Amritsar,2021.0,5.0,14.990625,0.7556539661612903,0.8024243485666668,0.1450659296785714,1.7258465073666664,2.04662522401828,16.89961851,14.198533496666666,12.217055121428572,0.49999999999999994,-0.8660254037844387,15.507837837837837,15.507837837837837,15.507837837837837,15.335433558558558,15.421635698198196
Punjab,Amritsar,2021.0,6.0,14.990625,1.8595187387333327,0.7556539661612903,0.4885469092903226,0.563291178483871,3.4175970534612903,18.19295645862069,16.89961851,12.3118763,1.2246467991473532e-16,-1.0,14.990625,15.507837837837837,15.507837837837837,15.163029279279279,15.335433558558558
Punjab,Amritsar,2021.0,7.0,14.990625,8.133512226645161,1.8595187387333327,0.8024243485666668,0.6673367136451612,10.748684931539785,19.030246430769232,18.19295645862069,14.198533496666666,-0.4999999999999997,-0.8660254037844388,14.990625,15.507837837837837,15.507837837837837,14.990625,15.249231418918919
Punjab,Amritsar,2021.0,8.0,14.990625,2.690151133064516,8.133512226645161,0.7556539661612903,0.1450659296785714,12.68318209844301,18.557742793103447,19.030246430769232,16.89961851,-0.8660254037844385,-0.5000000000000004,14.990625,14.990625,15.507837837837837,14.990625,15.163029279279279
Punjab,Amritsar,2021.0,9.0,14.990625,8.1350890979,2.690151133064516,1.8595187387333327,0.4885469092903226,18.95875245760968,19.402508024,18.557742793103447,18.19295645862069,-1.0,-1.8369701987210297e-16,14.990625,14.990625,15.507837837837837,14.990625,15.076827139639638
Punjab,Amritsar,2021.0,10.0,14.990625,1.2679140056451612,8.1350890979,8.133512226645161,0.8024243485666668,12.093154236609678,17.446969149999997,19.402508024,19.030246430769232,-0.8660254037844386,0.5000000000000001,14.990625,14.990625,15.507837837837837,14.990625,14.990625
Punjab,Amritsar,2021.0,11.0,14.990625,0.0487632037333333,1.2679140056451612,2.690151133064516,0.7556539661612903,9.451766307278495,17.446969149999997,19.402508024,19.030246430769232,-0.5000000000000004,0.8660254037844384,14.990625,14.990625,14.990625,14.990625,14.990625
Punjab,Amritsar,2021.0,12.0,14.990625,0.0,0.0487632037333333,8.1350890979,1.8595187387333327,1.3166772093784946,12.913103912903226,17.446969149999997,18.557742793103447,-2.4492935982947064e-16,1.0,14.990625,14.990625,14.990625,14.990625,14.990625
